timestamp,dx_cm,ax,right,left
1783181350.5213833,0.0,0.0,False,False
1783181350.5255299,0.0,0.0,False,False
1783181350.5417626,0.0,0.0,False,False
1783181350.5575142,0.0,0.0,False,False
1783181350.5731795,0.0,0.0,False,False
1783181350.5894868,0.0,0.0,False,False
1783181350.6068773,0.0,0.0,False,False
1783181350.622394,0.0,0.0,False,False
1783181350.6386623,0.0,0.0,False,False
1783181350.6541836,0.0,0.0,False,False
1783181350.670798,0.0,0.0,False,False
1783181350.6863368,0.0,0.0,False,False
1783181350.7026384,0.0,0.0,False,False
1783181350.7184305,0.0,0.0,False,False
1783181350.7346656,0.0,0.0,False,False
1783181350.7506084,0.0,0.0,False,False
1783181350.7664742,0.0,0.0,False,False
1783181350.7822843,0.0,0.0,False,False
1783181350.7989328,0.0,0.0,False,False
1783181350.8141437,0.0,0.0,False,False
1783181350.830572,0.0,0.0,False,False
1783181350.8468587,0.0,0.0,False,False
1783181350.8626103,0.0,0.0,False,False
1783181350.879693,0.0,0.0,False,False
1783181350.895791,0.0,0.0,False,False
1783181350.911842,0.0,0.0,False,False
1783181350.927763,0.0,0.0,False,False
1783181350.94329,0.0,0.0,False,False
1783181350.9593503,0.0,0.0,False,False
1783181350.9755695,0.0,0.0,False,False
1783181350.991762,0.0,0.0,False,False
1783181351.0072289,0.0,0.0,False,False
1783181351.0234354,0.0,0.0,False,False
1783181351.0394182,0.0,0.0,False,False
1783181351.055978,0.0,0.0,False,False
1783181351.0717356,0.0,0.0,False,False
1783181351.0872777,0.0,0.0,False,False
1783181351.1040998,0.0,0.0,False,False
1783181351.1198142,0.0,0.0,False,False
1783181351.136266,0.0,0.0,False,False
1783181351.1524396,0.0,0.0,False,False
1783181351.168472,0.0,0.0,False,False
1783181351.1846216,0.0,0.0,False,False
1783181351.2003827,0.0,0.0,False,False
1783181351.2168424,0.0,0.0,False,False
1783181351.2328665,0.0,0.0,False,False
1783181351.248321,0.0,0.0,False,False
1783181351.2641518,0.0,0.0,False,False
1783181351.280778,0.0,0.0,False,False
1783181351.2973428,0.0,0.0,False,False
1783181351.3129659,0.0,0.0,False,False
1783181351.3291996,0.0,0.0,False,False
1783181351.3459604,0.0,0.0,False,False
1783181351.361483,0.0,0.0,False,False
1783181351.3772626,0.0,0.0,False,False
1783181351.394163,0.0,0.0,False,False
1783181351.410124,0.0,0.0,False,False
1783181351.425764,0.0,0.0,False,False
1783181351.4413726,0.0,0.0,False,False
1783181351.4580417,0.0,0.0,False,False
1783181351.4737763,0.0,0.0,False,False
1783181351.4893768,0.0,0.0,False,False
1783181351.50599,0.0,0.0,False,False
1783181351.5214448,0.0,0.0,False,False
1783181351.5382454,0.0,0.0,False,False
1783181351.5547774,0.0,0.0,False,False
1783181351.5705454,0.0,0.0,False,False
1783181351.5869699,0.0,0.0,False,False
1783181351.6027582,0.0,0.0,False,False
1783181351.6184158,0.0,0.0,False,False
1783181351.634569,0.0,0.0,False,False
1783181351.6503747,0.0,0.0,False,False
1783181351.6670341,0.0,0.0,False,False
1783181351.6823802,0.0,0.0,False,False
1783181351.69829,0.0,0.0,False,False
1783181351.7146711,0.0,0.0,False,False
1783181351.7307644,0.0,0.0,False,False
1783181351.7461982,0.0,0.0,False,False
1783181351.7624366,0.0,0.0,False,False
1783181351.7790864,0.0,0.0,False,False
1783181351.795407,0.0,0.0,False,False
1783181351.8122816,0.0,0.0,False,False
1783181351.828751,0.0,0.0,False,False
1783181351.8447,0.0,0.0,False,False
1783181351.8608093,0.0,0.0,False,False
1783181351.87697,0.0,0.0,False,False
1783181351.8926084,0.0,0.0,False,False
1783181351.9090939,0.0,0.0,False,False
1783181351.925591,0.0,0.0,False,False
1783181351.9421883,0.0,0.0,False,False
1783181351.9589758,0.0,0.0,False,False
1783181351.974584,0.0,0.0,False,False
1783181351.9909518,0.0,0.0,False,False
1783181352.006428,0.0,0.0,False,False
1783181352.0222287,0.0,0.0,False,False
1783181352.0386722,0.0,0.0,False,False
1783181352.0551417,0.0,0.0,False,False
1783181352.0715463,0.0,0.0,False,False
1783181352.0877564,0.0,0.0,False,False
1783181352.1034815,0.0,0.0,False,False
1783181352.1200733,0.0,0.0,False,False
1783181352.135611,0.0,0.0,False,False
1783181352.1514137,0.0,0.0,False,False
1783181352.167406,0.0,0.0,False,False
1783181352.1840014,0.0,0.0,False,False
1783181352.1999485,0.0,0.0,False,False
