timestamp,dx_cm,ax,right,left
1783247087.1045032,0.0,0.0,False,False
1783247087.1106727,0.0,0.0,False,False
1783247087.12741,0.0,0.0,False,False
1783247087.143256,0.0,0.0,False,False
1783247087.1640701,0.0,0.0,False,False
1783247087.1765096,0.0,0.0,False,False
1783247087.19173,0.0,0.0,False,False
1783247087.207888,0.0,0.0,False,False
1783247087.224452,0.0,0.0,False,False
1783247087.2417643,0.0,0.0,False,False
1783247087.2572072,0.0,0.0,False,False
1783247087.2732737,0.0,0.0,False,False
1783247087.2886899,0.0,0.0,False,False
1783247087.3052711,0.0,0.0,False,False
1783247087.3213642,0.0,0.0,False,False
1783247087.33685,0.0,0.0,False,False
1783247087.353252,0.0,0.0,False,False
1783247087.3694296,0.0,0.0,False,False
1783247087.3847542,0.0,0.0,False,False
1783247087.4014797,0.0,0.0,False,False
1783247087.416957,0.0,0.0,False,False
1783247087.433917,0.0,0.0,False,False
1783247087.4503584,0.0,0.0,False,False
1783247087.46582,0.0,0.0,False,False
1783247087.4823048,0.0,0.0,False,False
1783247087.4987428,0.0,0.0,False,False
1783247087.5139453,0.0,0.0,False,False
1783247087.5296135,0.0,0.0,False,False
1783247087.5458848,0.0,0.0,False,False
1783247087.5620012,0.0,0.0,False,False
1783247087.5776198,0.0,0.0,False,False
1783247087.5944057,0.0,0.0,False,False
1783247087.6103356,0.0,0.0,False,False
1783247087.6263607,0.0,0.0,False,False
1783247087.6416352,0.0,0.0,False,False
1783247087.6583047,0.0,0.0,False,False
1783247087.6745603,0.0,0.0,False,False
1783247087.6915417,0.0,0.0,False,False
1783247087.7070322,0.0,0.0,False,False
1783247087.7231972,0.0,0.0,False,False
1783247087.7386541,0.0,0.0,False,False
1783247087.7551167,0.0,0.0,False,False
1783247087.7714596,0.0,0.0,False,False
1783247087.7872922,0.0,0.0,False,False
1783247087.8035653,0.0,0.0,False,False
1783247087.8191264,0.0,0.0,False,False
1783247087.8351545,0.0,0.0,False,False
1783247087.851338,0.0,0.0,False,False
1783247087.8676498,0.0,0.0,False,False
1783247087.883389,0.0,0.0,False,False
1783247087.8992982,0.0,0.0,False,False
1783247087.9150984,0.0,0.0,False,False
1783247087.9310975,0.0,0.0,False,False
1783247087.947146,0.0,0.0,False,False
1783247087.9633987,0.0,0.0,False,False
1783247087.9792986,0.0,0.0,False,False
1783247087.995015,0.0,0.0,False,False
1783247088.0110388,0.0,0.0,False,False
1783247088.0267153,0.0,0.0,False,False
1783247088.04364,0.0,0.0,False,False
1783247088.059757,0.0,0.0,False,False
1783247088.0751798,0.0,0.0,False,False
1783247088.091885,0.0,0.0,False,False
1783247088.108385,0.0,0.0,False,False
1783247088.1240783,0.0,0.0,False,False
1783247088.1402965,0.0,0.0,False,False
1783247088.156489,0.0,0.0,False,False
1783247088.172231,0.0,0.0,False,False
1783247088.1881628,0.0,0.0,False,False
1783247088.2042747,0.0,0.0,False,False
1783247088.2203658,0.0,0.0,False,False
1783247088.2365608,0.0,0.0,False,False
1783247088.2517092,0.0,0.0,False,False
1783247088.2683818,0.0,0.0,False,False
1783247088.2838552,0.0,0.0,False,False
1783247088.2995753,0.0,0.0,False,False
1783247088.316243,0.0,0.0,False,False
1783247088.3319192,0.0,0.0,False,False
1783247088.347893,0.0,0.0,False,False
1783247088.3637986,0.0,0.0,False,False
1783247088.3805237,0.0,0.0,False,False
1783247088.3959556,0.0,0.0,False,False
1783247088.4124107,0.0,0.0,False,False
1783247088.4278293,0.0,0.0,False,False
1783247088.444398,0.0,0.0,False,False
1783247088.4598618,0.0,0.0,False,False
1783247088.4763467,0.0,0.0,False,False
1783247088.4918075,0.0,0.0,False,False
1783247088.5079036,0.0,0.0,False,False
1783247088.5246782,0.0,0.0,False,False
1783247088.5415437,0.0,0.0,False,False
1783247088.5570068,0.0,0.0,False,False
1783247088.5727396,0.0,0.0,False,False
1783247088.5888042,0.0,0.0,False,False
1783247088.6053755,0.0,0.0,False,False
1783247088.620817,0.0,0.0,False,False
1783247088.6374843,0.0,0.0,False,False
1783247088.6527221,0.0,0.0,False,False
1783247088.66894,0.0,0.0,False,False
1783247088.6848013,0.0,0.0,False,False
1783247088.7015667,0.0,0.0,False,False
1783247088.7180097,0.0,0.0,False,False
1783247088.7339067,0.0,0.0,False,False
1783247088.7500134,0.0,0.0,False,False
1783247088.7660758,0.0,0.0,False,False
1783247088.7821891,0.0,0.0,False,False
1783247088.7985532,0.0,0.0,False,False
1783247088.815134,0.0,0.0,False,False
1783247088.8313248,0.0,0.0,False,False
1783247088.8469253,0.0,0.0,False,False
1783247088.8634536,0.0,0.0,False,False
1783247088.8789046,0.0,0.0,False,False
1783247088.8953187,0.0,0.0,False,False
1783247088.9108956,0.0,0.0,False,False
1783247088.9267693,0.0,0.0,False,False
1783247088.9429095,0.0,0.0,False,False
1783247088.9586535,0.0,0.0,False,False
1783247088.975428,0.0,0.0,False,False
1783247088.9912932,0.0,0.0,False,False
1783247089.0073967,0.0,0.0,False,False
1783247089.0231252,0.0,0.0,False,False
1783247089.0397277,0.0,0.0,False,False
1783247089.0557778,0.0,0.0,False,False
1783247089.0722835,0.0,0.0,False,False
1783247089.0884695,0.0,0.0,False,False
1783247089.10434,0.0,0.0,False,False
1783247089.1203268,0.0,0.0,False,False
1783247089.1362994,0.0,0.0,False,False
1783247089.1526282,0.0,0.0,False,False
1783247089.1696398,0.0,0.0,False,False
1783247089.1860373,0.0,0.0,False,False
1783247089.2019894,0.0,0.0,False,False
1783247089.2183611,0.0,0.0,False,False
1783247089.234181,0.0,0.0,False,False
1783247089.2496698,0.0,0.0,False,False
1783247089.2664623,0.0,0.0,False,False
1783247089.281885,0.0,0.0,False,False
1783247089.297752,0.0,0.0,False,False
1783247089.3142498,0.0,0.0,False,False
